test error,training error,validation error
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.994927536231884,0.9728260869565217
0.996742671009772,0.9945652173913043,0.9728260869565217
0.996742671009772,0.9945652173913043,0.9728260869565217
0.996742671009772,0.9945652173913043,0.9728260869565217
0.996742671009772,0.9945652173913043,0.9728260869565217
0.996742671009772,0.9945652173913043,0.9728260869565217
0.996742671009772,0.9945652173913043,0.9728260869565217
0.996742671009772,0.9942028985507246,0.9728260869565217
0.996742671009772,0.9942028985507246,0.9728260869565217
0.996742671009772,0.993840579710145,0.9728260869565217
0.996742671009772,0.993840579710145,0.9728260869565217
0.99457111834962,0.9934782608695653,0.9728260869565217
0.99457111834962,0.9934782608695653,0.9728260869565217
0.99457111834962,0.9934782608695653,0.9728260869565217
0.99457111834962,0.9934782608695653,0.9717391304347827
0.99457111834962,0.9934782608695653,0.9706521739130435
0.99457111834962,0.9934782608695653,0.9706521739130435
0.99457111834962,0.9934782608695653,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9706521739130435
0.99457111834962,0.9931159420289855,0.9695652173913043
0.99457111834962,0.9931159420289855,0.9695652173913043
0.99457111834962,0.9931159420289855,0.9695652173913043
0.99457111834962,0.9931159420289855,0.9695652173913043
0.99457111834962,0.9931159420289855,0.9695652173913043
0.99457111834962,0.9931159420289855,0.9695652173913043
0.99457111834962,0.9927536231884058,0.9695652173913043
0.99457111834962,0.9927536231884058,0.9695652173913043
0.99457111834962,0.9927536231884058,0.9695652173913043
0.99457111834962,0.9923913043478261,0.9695652173913043
0.99457111834962,0.9920289855072464,0.9695652173913043
0.99457111834962,0.9920289855072464,0.9695652173913043
0.99457111834962,0.9920289855072464,0.9695652173913043
0.99457111834962,0.9920289855072464,0.9695652173913043
0.993485342019544,0.9920289855072464,0.9695652173913043
0.993485342019544,0.9920289855072464,0.9695652173913043
0.993485342019544,0.9920289855072464,0.9695652173913043
0.993485342019544,0.9916666666666667,0.9695652173913043
0.993485342019544,0.9916666666666667,0.9695652173913043
0.993485342019544,0.9916666666666667,0.9695652173913043
0.993485342019544,0.9916666666666667,0.9695652173913043
0.993485342019544,0.9916666666666667,0.9695652173913043
0.993485342019544,0.9916666666666667,0.9684782608695652
0.993485342019544,0.991304347826087,0.9684782608695652
0.993485342019544,0.9905797101449275,0.9684782608695652
0.993485342019544,0.9905797101449275,0.9684782608695652
0.993485342019544,0.9905797101449275,0.9684782608695652
0.993485342019544,0.9905797101449275,0.9684782608695652
0.993485342019544,0.9905797101449275,0.9684782608695652
0.993485342019544,0.9902173913043478,0.9684782608695652
0.993485342019544,0.9902173913043478,0.9684782608695652
0.993485342019544,0.9902173913043478,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9898550724637681,0.9684782608695652
0.993485342019544,0.9894927536231884,0.967391304347826
0.993485342019544,0.9891304347826086,0.967391304347826
0.993485342019544,0.9891304347826086,0.966304347826087
0.993485342019544,0.9891304347826086,0.966304347826087
0.993485342019544,0.9891304347826086,0.9652173913043478
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9641304347826087
0.993485342019544,0.9891304347826086,0.9630434782608696
0.993485342019544,0.9891304347826086,0.9630434782608696
0.993485342019544,0.9891304347826086,0.9630434782608696
0.993485342019544,0.9891304347826086,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.988768115942029,0.9630434782608696
0.993485342019544,0.9884057971014493,0.9630434782608696
0.993485342019544,0.9884057971014493,0.9630434782608696
0.993485342019544,0.9884057971014493,0.9630434782608696
0.993485342019544,0.9884057971014493,0.9619565217391305
0.993485342019544,0.9884057971014493,0.9608695652173913
0.993485342019544,0.9884057971014493,0.9608695652173913
0.993485342019544,0.9884057971014493,0.9608695652173913
0.993485342019544,0.9884057971014493,0.9608695652173913
0.993485342019544,0.9880434782608696,0.9608695652173913
0.993485342019544,0.9880434782608696,0.9608695652173913
0.993485342019544,0.9880434782608696,0.9608695652173913
0.993485342019544,0.9880434782608696,0.9608695652173913
0.993485342019544,0.9876811594202899,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9873188405797102,0.9608695652173913
0.993485342019544,0.9869565217391304,0.9608695652173913
0.993485342019544,0.9869565217391304,0.9608695652173913
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9869565217391304,0.9597826086956521
0.993485342019544,0.9865942028985507,0.9597826086956521
0.993485342019544,0.9865942028985507,0.9597826086956521
0.993485342019544,0.9865942028985507,0.9586956521739131
0.993485342019544,0.9865942028985507,0.9565217391304348
0.993485342019544,0.9865942028985507,0.9565217391304348
0.993485342019544,0.986231884057971,0.9565217391304348
0.993485342019544,0.986231884057971,0.9565217391304348
0.993485342019544,0.986231884057971,0.9565217391304348
0.993485342019544,0.986231884057971,0.9554347826086956
0.993485342019544,0.986231884057971,0.9554347826086956
0.993485342019544,0.986231884057971,0.9543478260869566
0.993485342019544,0.986231884057971,0.9543478260869566
0.993485342019544,0.986231884057971,0.9532608695652174
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
